,ENODEB_NAME,CELL_NAME,# of ERAB<%96,# of CSFB<%96,# of RRC<%96,# of E2E<%96,# of ERAB<%98,# of CSFB<%98,# of RRC<%98,# of E2E<%98,DCR_VOLTE_V5R,TOTAL96,TOTAL98,TOTAL
54,SR34_B1204_CAMLIBAHCE,LB120425O345783232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,SR34_B1204_CAMLIBAHCE,LB120415O345783281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,SR34_D1011_YEDITEPEUNIVGIRIS,LD101115O345805371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,SR34_K4168_SERIFALITURCANCAD,LK416825O345850452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,SR34_K4168_SERIFALITURCANCAD,LK416825O345850472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,SR34_K4168_SERIFALITURCANCAD,LK416835O345850473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,SR34_0A497_SINANOBA_TT,L0A49725O346094832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,SR34_0A497_SINANOBA_TT,L0A49715O346094881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,SR34_00022_KEMERBURGAZ_J,L0002215O346001311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,SR34_00022_KEMERBURGAZ_J,L0002215O346001331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,SR34_00022_KEMERBURGAZ_J,L0002225O346001332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,SR34_00022_KEMERBURGAZ_J,L0002225O346001352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,SR34_00022_KEMERBURGAZ_J,L0002245O346001374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,SR34_00725_KUMBURGAZ_OB_J,L0072525O346390432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,SR34_01198_UNALAN_2,L0119825O345712812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,SR34_01198_UNALAN_2,L0119815O345712881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,SR34_A1064_ORNEKCARSI_2,LA106425O345740872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,SR34_A1064_ORNEKCARSI_2,LA106435O345740873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,SR34_K4392_SERIFALI_TEZCAN_CAD,LK439215O345852911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,SR34_K4392_SERIFALI_TEZCAN_CAD,LK439225O345852982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,SR34_00067_KOCASINAN_J,L0006715O346004081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,SR34_00140_Caglayan,L0014015O346009231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,SR34_00361_TARABYA_SITELER,L0036125O346024182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,SR34_00599_NISPETIYE,L0059935O346040573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,SR34_00A76_ESENKENT_ONUR_JP_PTN,L00A7625O346115672,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
79,SR34_00H36_GAZI_TEM,L00H3615O346215711,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0
80,SR34_00H36_GAZI_TEM,L00H3625O346215732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,SR34_01051_SASKINBAKKAL,L0105115O345704251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,SR34_01051_SASKINBAKKAL,L0105135O345704253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,SR34_01178_KADIKOYMEYDAN,L0117815O345711281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,SR34_01318_BARBAROSMAH3,L0131835O345720113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,SR34_01488_ESENEVLERTEM,L0148825O345728712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,SR34_01573_ALBYFAIKSOZDENER_JP,L0157325O345733682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,SR34_01644_ELMALI1,L0164415O345736771,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,4.0
88,SR34_01652_ACIBADEM,L0165235O345737133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,SR34_01656_KANDILLITT,L0165615O345737471,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0
90,SR34_01656_KANDILLITT,L0165635O345737473,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
91,SR34_01656_KANDILLITT,L0165635O345737483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,SR34_01659_BOSTANCITT,L0165915O345737611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,SR34_01659_BOSTANCITT,L0165915O345737631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,SR34_0A158_SLV_TOPLU_KONUTLAR_SE,L0A15815O346392071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,SR34_0A486_UGURMUMCU_II,L0A48625O346093882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,SR34_0A575_YENIKAPI_SAHIL,L0A57515O346101711,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
97,SR34_0A575_YENIKAPI_SAHIL,L0A57525O346101732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,SR34_0A685_SCIFTLIGI_B_CAD,L0A68535O346109613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
